Papers,Evaluated by Developers,Statistical Evaluation Measure,Explainability Measure,Measure Type
review_97,No,AUC,NULL,None
review_98,No,AUC,NULL,None
review_99,No,Recall & Precision & Accuracy & F1-Score & G-Mean & MCC & AUC,NULL,None
review_100,No,AUC & Brier Score & Wald X2 Maximum Likelihood,NULL,None
review_101,No,Accuracy & Precision & Recall & F1-Score,NULL,None
review_102,No,AUC & F1-Score,NULL,None
review_103,No,F1-Score & G-Mean & Balance,NULL,None
review_104,No,Precision & Recall & F1-Score & AUC,NULL,None
review_105,No,F1-Score & G-Mean & Balance & Effort-Aware Recall & Effort-Aware F-measure,NULL,None
review_106,No,F1-Score & AUC & MCC,NULL,None
review_107,No,ACC & Popt & F1-Score,NULL,None
review_108,No,Precision & Specificity & Sensitivity & AUC,NULL,None
review_109,No,Precision & Recall,NULL,None
review_110,No,Recall & Precision & F1-Score & IFA & PCI,NULL,None
review_111,No,Cost Effectiveness & F1-Score,NULL,None
review_112,No,Precision & Recall & False Positive Rate & Balance & F1-Score & AUC,NULL,None
review_113,No,ACC & Popt,NULL,None
review_114,No,AUC & G-Mean & Pd & Pf,NULL,None
review_115,No,ACC & Popt & Precision & Recall & F1-Score & PofB20,NULL,None
review_116,No,Precision & Recall & F1-Score,NULL,None
review_117,No,Mean Fault Percentile Average,NULL,None
review_118,No,Precision & Recall & F1-Score & MCC,NULL,None
review_119,No,AUC & Balance & Pd & Pf & Popt & ACC,NULL,None
review_120,No,Pd & Pf & Balance & G-Measure & F1-Score,NULL,None
review_121,No,Accuracy & Precision & Recall,NULL,None
review_122,No,Accuracy & Precision & Recall & F1-Score,NULL,None
review_123,No,F1-Score & AUC,NULL,None
review_124,No,F1-Score & Balance & G-Mean & MCC,NULL,None
review_125,No,R-Squared,NULL,None
review_126,No,FPA & Kendall Rank Coefficient,NULL,None
review_127,No,AUC & MCC & F1-Score & Recall,NULL,None
review_128,No,AUC & FPA & ER-AVG & CE,NULL,None
review_129,No,MAR & MdAR & SA & Effect Size,NULL,None
review_130,No,AUC & G-Mean,NULL,None
review_131,No,AUC & Recall,NULL,None
review_132,No,Effort-Aware Recall & Effort-Aware F-measure,NULL,None
